Título,...2,...3,...4,...5,...6
P: ¿Hace 5 años vivía en este distrito?,,,,,
Área Geográfica,,,,,
Toda la Base de Datos,,,,,
,,,,,
,Código,Distrito,Aún no había nacido,"Sí, vivía hace 5 años en este distrito",No vivía hace 5 años en este distrito
,130901,"La Libertad, Sánchez Carrión, distrito: Huamachuco",7800,54222,4880
,130902,"La Libertad, Sánchez Carrión, distrito: Chugay",2153,14273,343
,130903,"La Libertad, Sánchez Carrión, distrito: Cochorco",1118,7067,213
,130904,"La Libertad, Sánchez Carrión, distrito: Curgos",960,6753,109
,130905,"La Libertad, Sánchez Carrión, distrito: Marcabal",1079,9233,119
,130906,"La Libertad, Sánchez Carrión, distrito: Sanagoran",1779,10978,165
,130907,"La Libertad, Sánchez Carrión, distrito: Sarin",1198,7567,151
,130908,"La Libertad, Sánchez Carrión, distrito: Sartimbamba",1566,10467,212
,131001,"La Libertad, Santiago de Chuco, distrito: Santiago de Chuco",1895,15909,507
,131002,"La Libertad, Santiago de Chuco, distrito: Angasmarca",466,4180,164
,131003,"La Libertad, Santiago de Chuco, distrito: Cachicadan",532,4585,202
,131004,"La Libertad, Santiago de Chuco, distrito: Mollebamba",173,1499,62
,131005,"La Libertad, Santiago de Chuco, distrito: Mollepata",223,2078,38
,131006,"La Libertad, Santiago de Chuco, distrito: Quiruvilca",1266,9960,1065
,131007,"La Libertad, Santiago de Chuco, distrito: Santa Cruz de Chuca",235,2414,203
,131008,"La Libertad, Santiago de Chuco, distrito: Sitabamba",385,2753,102
,131101,"La Libertad, Gran Chimú, distrito: Cascas",1128,11565,681
,131102,"La Libertad, Gran Chimú, distrito: Lucma",415,4128,182
,131103,"La Libertad, Gran Chimú, distrito: Marmot",207,1906,294
,131104,"La Libertad, Gran Chimú, distrito: Sayapullo",710,5437,239
,131201,"La Libertad, Virú, distrito: Virú",5636,41987,4784
,131202,"La Libertad, Virú, distrito: Chao",3979,22803,6060
,131203,"La Libertad, Virú, distrito: Guadalupito",764,5772,539
,140101,"Lambayeque, Chiclayo, distrito: Chiclayo",19768,220584,30144
,140102,"Lambayeque, Chiclayo, distrito: Chongoyape",1562,15356,1446
,140103,"Lambayeque, Chiclayo, distrito: Eten",1121,9896,976
,140104,"Lambayeque, Chiclayo, distrito: Eten Puerto",150,1932,260
,140105,"Lambayeque, Chiclayo, distrito: José Leonardo Ortiz",12590,128839,15069
,140106,"Lambayeque, Chiclayo, distrito: La Victoria",7762,71774,11376
,140107,"Lambayeque, Chiclayo, distrito: Lagunas",1002,7912,1072
,140108,"Lambayeque, Chiclayo, distrito: Monsefu",2792,27404,2029
,140109,"Lambayeque, Chiclayo, distrito: Nueva Arica",176,2069,213
,140110,"Lambayeque, Chiclayo, distrito: Oyotun",640,6963,598
,140111,"Lambayeque, Chiclayo, distrito: Picsi",733,8721,3250
,140112,"Lambayeque, Chiclayo, distrito: Pimentel",4128,31565,8909
,140113,"Lambayeque, Chiclayo, distrito: Reque",1421,11952,2371
,140114,"Lambayeque, Chiclayo, distrito: Santa Rosa",1335,10300,715
,140115,"Lambayeque, Chiclayo, distrito: Saña",944,9563,1110
,140116,"Lambayeque, Chiclayo, distrito: Cayalti",1181,12754,874
,140117,"Lambayeque, Chiclayo, distrito: Patapo",1985,19148,1491
,140118,"Lambayeque, Chiclayo, distrito: Pomalca",2141,21356,1770
,140119,"Lambayeque, Chiclayo, distrito: Pucala",679,7335,687
,140120,"Lambayeque, Chiclayo, distrito: Tuman",2340,23622,1820
,140201,"Lambayeque, Ferreñafe, distrito: Ferreñafe",2995,28053,3181
,140202,"Lambayeque, Ferreñafe, distrito: Cañaris",1451,9861,54
,140203,"Lambayeque, Ferreñafe, distrito: Incahuasi",1746,11961,151
,140204,"Lambayeque, Ferreñafe, distrito: Manuel Antonio Mesones Muro",388,3191,229
,140205,"Lambayeque, Ferreñafe, distrito: Pitipo",1906,16362,1383
,140206,"Lambayeque, Ferreñafe, distrito: Pueblo Nuevo",1498,11749,1256
,140301,"Lambayeque, Lambayeque, distrito: Lambayeque",6895,57092,7438
,140302,"Lambayeque, Lambayeque, distrito: Chochope",170,1065,172
,140303,"Lambayeque, Lambayeque, distrito: Illimo",838,7494,524
,140304,"Lambayeque, Lambayeque, distrito: Jayanca",1904,13741,1559
,140305,"Lambayeque, Lambayeque, distrito: Mochumi",1892,15712,797
,140306,"Lambayeque, Lambayeque, distrito: Morrope",6478,40751,980
,140307,"Lambayeque, Lambayeque, distrito: Motupe",3098,24137,2601
,140308,"Lambayeque, Lambayeque, distrito: Olmos",4973,37876,3635
,140309,"Lambayeque, Lambayeque, distrito: Pacora",856,6663,541
,140310,"Lambayeque, Lambayeque, distrito: Salas",1363,10841,391
,140311,"Lambayeque, Lambayeque, distrito: San José",1892,12705,1249
,140312,"Lambayeque, Lambayeque, distrito: Tucume",2348,18482,1017
,150101,"Lima, Lima, distrito: Lima",15462,209257,43633
,150102,"Lima, Lima, distrito: Ancón",5886,40267,16775
,150103,"Lima, Lima, distrito: Ate",49355,460205,89636
,150104,"Lima, Lima, distrito: Barranco",1675,24646,8057
,150105,"Lima, Lima, distrito: Breña",4722,62075,18512
,150106,"Lima, Lima, distrito: Carabayllo",30002,234461,68582
,150107,"Lima, Lima, distrito: Chaclacayo",2842,34149,5921
,150108,"Lima, Lima, distrito: Chorrillos",21091,247242,45908
,150109,"Lima, Lima, distrito: Cieneguilla",3265,22942,8477
,150110,"Lima, Lima, distrito: Comas",38827,420231,61392
,150111,"Lima, Lima, distrito: El Agustino",15314,154152,29396
,150112,"Lima, Lima, distrito: Independencia",15001,173013,23346
,150113,"Lima, Lima, distrito: Jesús María",3379,50904,21076
,150114,"Lima, Lima, distrito: La Molina",6606,107420,26653
,150115,"Lima, Lima, distrito: La Victoria",10959,136570,26101
,150116,"Lima, Lima, distrito: Lince",2623,38793,13295
,150117,"Lima, Lima, distrito: Los Olivos",21912,250895,53077
,150118,"Lima, Lima, distrito: Lurigancho",20992,175805,44017
,150119,"Lima, Lima, distrito: Lurin",8108,63493,17594
,150120,"Lima, Lima, distrito: Magdalena del Mar",3089,40132,17069
,150121,"Lima, Lima, distrito: Pueblo Libre",3772,57738,21813
,150122,"Lima, Lima, distrito: Miraflores",4678,64600,30059
,150123,"Lima, Lima, distrito: Pachacamac",10712,78730,20629
,150124,"Lima, Lima, distrito: Pucusana",1395,11110,2386
,150125,"Lima, Lima, distrito: Puente Piedra",29953,239961,59761
,150126,"Lima, Lima, distrito: Punta Hermosa",1386,9068,5420
,150127,"Lima, Lima, distrito: Punta Negra",574,4964,1536
,150128,"Lima, Lima, distrito: Rímac",11420,143534,19831
